Date,Volume,Open,Close,High,Low
2023-08-25 - 2023-09-01,12766749,100,103.29,103.6,99.21
2023-08-21 - 2023-08-28,90923211,81.5,98.97,100.7136,79
2023-08-14 - 2023-08-21,40452075,76.58,79.91,81.15,75.44
2023-08-07 - 2023-08-14,31275143,81.165,76.98,82.19,75.77
2023-07-31 - 2023-08-07,36740946,87.52,81.55,88.22,80.47
2023-07-25 - 2023-08-01,37054934,87.96,87.52,92.79,83.105
2023-07-24 - 2023-07-31,8431198,89.12,89.82,90.925,87.27
2023-07-17 - 2023-07-24,53440829,75.4,89.35,89.485,74.61
2023-07-10 - 2023-07-17,46223713,77.1,75.97,79.6699,74.48
2023-07-03 - 2023-07-10,54395308,70,79.49,81.51,69.06
2023-06-26 - 2023-07-03,26225658,71.77,70,73.04,67.55
2023-06-19 - 2023-06-26,29723830,70.24,69.14,73.47,66.401
2023-06-13 - 2023-06-20,36967904,75.57,69.8,76.01,68.575
2023-06-05 - 2023-06-12,46990351,76,79.87,83.4,75.2437
2023-05-29 - 2023-06-05,47537797,69.12,76.16,77.99,66.63
2023-05-25 - 2023-06-01,23540898,63.86,69.54,72,63.84
2023-05-23 - 2023-05-30,25083949,71.915,65.32,72.06,62.53
2023-05-15 - 2023-05-22,59755925,61.93,71.42,71.5,59.98
2023-05-08 - 2023-05-15,40215743,65.2,60.53,67.203525,60.01
2023-05-01 - 2023-05-08,41118493,62.87,63.32,65.7,59.67
2023-04-24 - 2023-05-01,30418119,67.69,63.06,69.46,62.75
2023-04-17 - 2023-04-24,38438234,68.755,68.15,68.81,63.58
2023-04-10 - 2023-04-17,31035005,69.34,69.23,71.98,67.86
2023-04-03 - 2023-04-10,40123557,71,67.68,72.44,66.74
2023-03-27 - 2023-04-03,22630609,74.07,72.03,74.9,71.16
2023-03-20 - 2023-03-27,62707685,72.25,75.9,78.58,70.13
2023-03-13 - 2023-03-20,91850351,79.93,73.96,82.84,72.6
2023-03-06 - 2023-03-13,56945666,84.73,91.94,95.31,84.73
2023-02-27 - 2023-03-06,38723056,94.62,85.73,96.49,83.62
2023-02-22 - 2023-03-01,29561691,92.65,95.69,97.63,89.96
2023-02-20 - 2023-02-27,18811619,85.75,87.73,90.08,84.555
2023-02-14 - 2023-02-21,49097879,86.223,83.72,88.53,81.82
2023-02-06 - 2023-02-13,37092406,94.99,93.42,98.17,91.9
2023-01-30 - 2023-02-06,34884758,92.12,92.45,96.8914,90.04
2023-01-25 - 2023-02-01,23250904,102.31,95.65,104.95,95.36
2023-01-23 - 2023-01-30,17674612,99.61,97.98,101.195,95.78
2023-01-16 - 2023-01-23,29131879,93.5,104.68,106.38,93.5
2023-01-10 - 2023-01-17,29249987,94.505,92.84,97.58,89.36
2023-01-02 - 2023-01-09,32062147,99.005,97,99.3,91.76
2022-12-27 - 2023-01-03,48536127,85.51,95.96,96.75,84.2301
2022-12-20 - 2022-12-27,30274226,85.09,81.55,88.57,78.82
2022-12-12 - 2022-12-19,32012979,87.17,84.03,87.8499,83.64
2022-12-05 - 2022-12-12,46551445,87.27,87.03,93.16,85.53
2022-11-28 - 2022-12-05,68992129,88.95,89.71,92.03,83.1
2022-11-24 - 2022-12-01,32296422,79.24,86.34,88.13,78.9
2022-11-21 - 2022-11-28,77285956,74.78,82.04,84.27,73.55
2022-11-14 - 2022-11-21,29570978,68.43,65.75,69.55,64.17
2022-11-07 - 2022-11-14,58987986,67.59,70.15,72.74,63
2022-10-31 - 2022-11-07,60712167,63.01,65.18,68.6,58.12
2022-10-25 - 2022-11-01,62127023,59.63,61.89,62.9,52
2022-10-24 - 2022-10-31,13403335,52.28,54.83,56.23,52.17
2022-10-17 - 2022-10-24,155498990,48.15,52.95,55.8499,38.8
2022-10-10 - 2022-10-17,55323930,54.62,58.97,60.08,54.15
2022-10-03 - 2022-10-10,46390234,61.5,52.92,61.97,52.6462
2022-09-26 - 2022-10-03,30180242,62.41,63.56,68.1247,60.7563
2022-09-19 - 2022-09-26,43725200,61.48,62.58,64.86,58.79
2022-09-12 - 2022-09-19,41628851,64.03,60.05,67.99,59.52
2022-09-05 - 2022-09-12,44710498,70.14,65.67,71.62,63.36
2022-08-30 - 2022-09-06,41146380,70.04,69.76,71.39,63.84
2022-08-25 - 2022-09-01,32706808,69.45,72.19,73.02,67.99
2022-08-22 - 2022-08-29,145526842,65.04,71.3,72.19,63.9
2022-08-15 - 2022-08-22,80722338,46.12,57.57,63.69,45.58
2022-08-08 - 2022-08-15,28321027,47.78,45.76,51.43,45.6
2022-08-01 - 2022-08-08,41401235,49.2,48.8,52.29,44.85
2022-07-25 - 2022-08-01,43602100,47.48,50.25,54.03,44.82
2022-07-18 - 2022-07-25,41467150,54.98,49.01,56.8,47.55
2022-07-11 - 2022-07-18,35170352,56.02,54.38,58.24,52.18
2022-07-04 - 2022-07-11,47201312,57.762,54.71,58.08,52.52
2022-06-28 - 2022-07-05,37444818,63.8255,60.8,66.67,59.82
2022-06-24 - 2022-07-01,8121507,61.81,64.82,64.99,61.08
2022-06-20 - 2022-06-27,35728918,67.6,61.8,68.71,59.43
2022-06-14 - 2022-06-21,59098372,61.795,65.96,66.75,60.31
2022-06-06 - 2022-06-13,81354142,56.7165,59,62.76,52.5601
2022-05-30 - 2022-06-06,118173640,55.17,59.95,66.5288,53.3821
2022-05-25 - 2022-06-01,34219993,49.51,50.9,52.9474,48.06
2022-05-24 - 2022-05-31,26051042,51.92,50.35,52.7899,48.86
2022-05-16 - 2022-05-23,68558542,40.69,48.3,48.37,36.29
2022-05-09 - 2022-05-16,61581806,38.555,40.9,44.05,37.04
2022-05-02 - 2022-05-09,57872470,36.33,37.72,38.0738,31.01
2022-04-25 - 2022-05-02,44640687,42.31,38.19,45.63,37.5
2022-04-18 - 2022-04-25,87010806,33.09,43.09,45.7,32.525
2022-04-11 - 2022-04-18,61609445,38.5,34.73,40.12,34.38
2022-04-04 - 2022-04-11,57157385,41.81,40.03,45.22,39.85
2022-03-28 - 2022-04-04,89691619,46.85,42.6,49.87,41.19
2022-03-25 - 2022-04-01,29336665,44.52,42.65,45.8,41.69
2022-03-21 - 2022-03-28,81659525,44.99,40.11,47,39.84
2022-03-14 - 2022-03-21,229720552,44.94,44.24,55.38,38.5
2022-03-07 - 2022-03-14,245098468,27.97,42.6,45.97,23.21
2022-02-28 - 2022-03-07,68073148,40.1,32.13,43.83,32.09
2022-02-22 - 2022-03-01,34136894,51.68,41.27,54.79,40.9
2022-02-21 - 2022-02-28,5541816,50.72,51.86,52.24,49.87
2022-02-15 - 2022-02-22,34665399,53.73,51.65,56.6,47.57
2022-02-07 - 2022-02-14,28685303,58.57,56.03,63.14,54.76
2022-01-31 - 2022-02-07,40106788,55.4,60,65.18,53.24
2022-01-25 - 2022-02-01,20212745,59.74,55.85,60.87,54.23
2022-01-24 - 2022-01-31,10644147,54.35,59.84,59.97,54.1
2022-01-17 - 2022-01-24,41961863,60,53.05,61.62,49.09
2022-01-11 - 2022-01-18,40620277,58.32,62.41,71.27,58.21
2022-01-03 - 2022-01-10,39741746,56.345,60.41,63.78,54.2
2021-12-27 - 2022-01-03,58075066,58.35,55.9,58.87,47.67
2021-12-20 - 2021-12-27,26463748,57.45,58.3,60.49,52.53
2021-12-13 - 2021-12-20,24189386,56.12,57.71,59.73,54
2021-12-06 - 2021-12-13,35974698,62.855,58.06,63.01,54.07
2021-11-29 - 2021-12-06,55212684,54.73,63.62,65.27,52
2021-11-24 - 2021-12-01,47728530,68.42,54.44,68.84,51.91
2021-11-22 - 2021-11-29,24945248,68.17,66.5,72.38,65.9
2021-11-15 - 2021-11-22,45316687,81.93,68.46,84.06,65.51
2021-11-08 - 2021-11-15,29016612,94.76,81.87,95.1,81.37
